time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,24,11,0,0
2026-06-11 00:00:00+00:00,18,13,1,1
2026-06-12 00:00:00+00:00,22,8,5,3
2026-06-13 00:00:00+00:00,23,7,0,0
2026-06-14 00:00:00+00:00,22,8,0,0
2026-06-15 00:00:00+00:00,14,8,1,1
2026-06-16 00:00:00+00:00,30,9,0,0
2026-06-17 00:00:00+00:00,14,4,0,0
2026-06-18 00:00:00+00:00,22,7,0,0
2026-06-19 00:00:00+00:00,20,5,0,0
2026-06-20 00:00:00+00:00,46,11,0,0
2026-06-21 00:00:00+00:00,42,11,0,0
2026-06-22 00:00:00+00:00,31,8,0,0
2026-06-23 00:00:00+00:00,38,9,0,0
